# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 12.596787447992549,3.8070149751326374,1.5381275038003506,-179.01384424738887,0.2,0.0,0.0668238174035993,-120.0276288594117,0.7703474485824021,-6.714356631145907
 12.644846686595315,3.797404659989853,1.5379558662185857,-178.97682193555042,0.2,0.0,0.06992142176596278,-120.35031572681201,0.8061753253172427,-6.605764713007947
 12.692321135338101,3.787911399544745,1.537779975745278,-178.93854920639097,0.2,0.0,0.07322460726794514,-120.66392076508662,0.8443882277519857,-6.494380288201424
 12.7392037744455,3.7785366029661107,1.5375998005632832,-178.8989620578427,0.2,0.0,0.07675098651558859,-120.96839445236456,0.8851911120504685,-6.38007651093622
 12.785487585595778,3.769281679422746,1.5374153088554579,-178.85799203958067,0.2,0.0,0.08052002926128209,-121.26368870872106,0.9288106010606733,-6.262717397894403
 12.831165552023732,3.760148038083447,1.5372264688046582,-178.8155658601275,0.2,0.0,0.08455329463328012,-121.54975690376985,0.9754977148730046,-6.142157005374357
 12.876230658632812,3.751137088117012,1.5370332485937408,-178.77160495160985,0.2,0.0,0.08887469761294242,-121.82655386402675,1.0255310036704963,-6.018238516132328
 12.920675892117531,3.7422502386922356,1.5368356164055619,-178.72602498670588,0.2,0.0,0.09351081883941395,-122.09403588004298,1.0792201491448434,-5.890793224175737
 12.964494241097283,3.733488898977916,1.5366335404229774,-178.67873534158468,0.2,0.0,0.09849125686462004,-122.35216071330747,1.1369101161908346,-5.759639403932364
 13.00767869626291,3.7248544781428485,1.536426988828844,-178.62963849764466,0.2,0.0,0.10384903798160222,-122.60088760291677,1.1989859515310097,-5.624581048181613
 13.050222250537463,3.716348385355831,1.5362159298060174,-178.57862937374128,0.2,0.0,0.10962108994869066,-122.8401772720117,1.26587834283323,-5.485406456621062
 13.092117899252875,3.707972029785658,1.5360003315373545,-178.5255945793735,0.2,0.0,0.1158487922164674,-123.06999193397955,1.338070081076225,-5.341886654083699
 13.133358640344436,3.6997268206011285,1.5357801622057112,-178.47041157759745,0.2,0.0,0.12257861723136863,-123.29029529842109,1.4161035893123655,-5.193773613924102
 13.173937474565314,3.691614166971037,1.5355553899939443,-178.41294774480718,0.2,0.0,0.12986287977768862,-123.50105257688128,1.5005897260265268,-5.040798258046643
 13.213847405723579,3.683635478064181,1.5353259830849095,-178.35305931214464,0.2,0.0,0.13776061418855054,-123.70223048834262,1.5922181059151312,-4.88266820016047
 13.253081440944712,3.675792163049357,1.5350919096614635,-178.29059017089747,0.2,0.0,0.1463386071207673,-123.89379726448082,1.6917692437701177,-4.719065192986123
 13.291632590962882,3.668085631095362,1.534853137906462,-178.22537052098474,0.2,0.0,0.15567261529698112,-124.07572265468116,1.8001288881531097,-4.549642233203049
 13.32949387044489,3.6605172913709914,1.5346096360027621,-178.15721533804674,0.2,0.0,0.16584880705742233,-124.24797793081561,1.9183050037513887,-4.37402026941237
